roi_0_contour_0_x;roi_0_contour_0_y;roi_1_contour_0_x;roi_1_contour_0_y;roi_2_contour_0_x;roi_2_contour_0_y;roi_3_contour_0_x;roi_3_contour_0_y;roi_4_contour_0_x;roi_4_contour_0_y;roi_5_contour_0_x;roi_5_contour_0_y;roi_6_contour_0_x;roi_6_contour_0_y;roi_7_contour_0_x;roi_7_contour_0_y;roi_8_contour_0_x;roi_8_contour_0_y;roi_9_contour_0_x;roi_9_contour_0_y;
244.538;22.8087;23.5381;18.8087;171.538;60.8087;243.538;98.8087;30.5381;103.809;110.538;124.809;184.538;157.809;33.5381;190.809;115.538;214.809;241.538;216.809;
244.538;21.8087;23.5381;17.8087;171.538;59.8087;244.538;97.8087;31.5381;102.809;111.538;123.809;184.538;156.809;34.5381;189.809;115.538;213.809;242.538;215.809;
245.538;20.8087;25.5381;15.8087;172.538;58.8087;244.538;96.8087;31.5381;101.809;111.538;122.809;186.538;154.809;34.5381;188.809;116.538;212.809;242.538;214.809;
245.538;19.8087;25.5381;14.8087;172.538;57.8087;245.538;95.8087;32.5381;100.809;112.538;121.809;186.538;153.809;35.5381;187.809;116.538;211.809;243.538;213.809;
247.538;17.8087;26.5381;13.8087;174.538;55.8087;245.538;94.8087;32.5381;99.8087;112.538;120.809;187.538;152.809;35.5381;186.809;118.538;209.809;243.538;212.809;
247.538;16.8087;26.5381;12.8087;174.538;54.8087;247.538;92.8087;34.5381;97.8087;114.538;118.809;187.538;151.809;37.5381;184.809;118.538;208.809;245.538;210.809;
248.538;15.8087;27.5381;11.8087;175.538;53.8087;247.538;91.8087;34.5381;96.8087;114.538;117.809;188.538;150.809;37.5381;183.809;119.538;207.809;245.538;209.809;
248.538;14.8087;27.5381;10.8087;175.538;52.8087;248.538;90.8087;35.5381;95.8087;115.538;116.809;188.538;149.809;38.5381;182.809;119.538;206.809;246.538;208.809;
249.538;13.8087;29.5381;8.80866;176.538;51.8087;248.538;89.8087;35.5381;94.8087;115.538;115.809;190.538;147.809;38.5381;181.809;120.538;205.809;246.538;207.809;
249.538;12.8087;29.5381;7.80866;176.538;50.8087;249.538;88.8087;36.5381;93.8087;116.538;114.809;190.538;146.809;39.5381;180.809;120.538;204.809;247.538;206.809;
251.538;10.8087;;;178.538;48.8087;249.538;87.8087;36.5381;92.8087;116.538;113.809;;;39.5381;179.809;122.538;202.809;247.538;205.809;
251.538;9.80866;;;178.538;47.8087;251.538;85.8087;38.5381;90.8087;118.538;111.809;;;41.5381;177.809;122.538;201.809;249.538;203.809;
252.538;8.80866;;;179.538;46.8087;251.538;84.8087;38.5381;89.8087;118.538;110.809;;;41.5381;176.809;123.538;200.809;249.538;202.809;
252.538;7.80866;;;179.538;45.8087;252.538;83.8087;39.5381;88.8087;;;;;42.5381;175.809;123.538;199.809;250.538;201.809;
253.538;6.80866;;;;;252.538;82.8087;;;;;;;42.5381;174.809;124.538;198.809;250.538;200.809;
;;;;;;253.538;81.8087;;;;;;;43.5381;173.809;124.538;197.809;251.538;199.809;
